unique_task_id,source_row,task_ref,project_id,task_group,task_type,to_package,association,cause,created_date,created_year,created_month,created_weekday,description_length,has_images,has_comments,has_documents,overdue_label,days_since_dataset_start,urgency_level,safety_classification,task_type_original
1328_T116412.189,49,T116412.189,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-10,2020,9,Thursday,30,1,0,0,0,538,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T116412.188,50,T116412.188,1328,Quality,JPC - Quality Defect (compliance),Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-10,2020,9,Thursday,27,1,0,0,0,538,Not Specified,Not Applicable,JPC - Quality Defect (compliance)
1328_T116412.187,51,T116412.187,1328,Safety,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,JPC - Safety - House Keeping,2020-09-10,2020,9,Thursday,45,1,0,0,0,538,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T116412.186,52,T116412.186,1328,Quality,JPC - Quality Defect (compliance),Temporary Electrics,FormAnswer,JPC - Safety - Temporary Electrics,2020-09-10,2020,9,Thursday,49,1,0,0,0,538,Not Specified,Not Applicable,JPC - Quality Defect (compliance)
1328_T116412.185,53,T116412.185,1328,Quality,JPC - Quality Defect (compliance),Temporary Electrics,FormAnswer,JPC - Safety - Working At Height,2020-09-10,2020,9,Thursday,37,1,0,0,0,538,Not Specified,Not Applicable,JPC - Quality Defect (compliance)
1328_T116412.184,54,T116412.184,1328,Safety,Safety Notice (Green) - Good Observation,Temporary Electrics,FormAnswer,JPC - Quality - Workmanship,2020-09-10,2020,9,Thursday,25,1,0,0,0,538,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T118982.21,55,T118982.21,1328,Design Team,Design Team - BCAR Architectural,Unknown,ForwardedFrom,Not Specified,2020-09-10,2020,9,Thursday,20,0,0,0,0,538,High,Not Applicable,Design Team - BCAR Architectural
1328_T119055.117,56,T119055.117,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,26,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.116,57,T119055.116,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,17,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.115,58,T119055.115,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,17,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.114,59,T119055.114,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,39,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.113,60,T119055.113,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,39,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.112,61,T119055.112,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,26,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.111,62,T119055.111,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,30,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.110,63,T119055.110,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,30,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.109,64,T119055.109,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Safety - Access,2020-09-09,2020,9,Wednesday,39,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.108,65,T119055.108,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,30,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.107,66,T119055.107,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Safety - Access,2020-09-09,2020,9,Wednesday,26,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.106,67,T119055.106,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,32,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.105,68,T119055.105,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Safety - Access,2020-09-09,2020,9,Wednesday,39,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.104,69,T119055.104,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,26,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.103,70,T119055.103,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Safety - Access,2020-09-09,2020,9,Wednesday,19,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.102,71,T119055.102,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 5 Weather,2020-09-09,2020,9,Wednesday,26,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.101,72,T119055.101,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,24,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.99,73,T119055.99,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,37,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.98,74,T119055.98,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Safety - Demolition,2020-09-09,2020,9,Wednesday,39,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.97,75,T119055.97,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,28,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.96,76,T119055.96,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Safety - Access,2020-09-09,2020,9,Wednesday,19,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.95,77,T119055.95,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Program - 6 Information,2020-09-09,2020,9,Wednesday,24,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T119055.94,78,T119055.94,1328,Site Management,Program Constraint Task (Last Planner),Main Contractor,ForwardedFrom,JPC - Safety - Access,2020-09-09,2020,9,Wednesday,44,0,0,0,0,537,Not Specified,Not Applicable,Program Constraint Task (Last Planner)
1328_T141007.46,79,T141007.46,1328,Safety,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,13,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.45,80,T141007.45,1328,Safety,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,13,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.44,81,T141007.44,1328,Safety,Safety Notice (Green) - Good Observation,Ceilings & Partitions,FormAnswer,JPC - Safety - Working At Height,2020-09-09,2020,9,Wednesday,14,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T141007.43,82,T141007.43,1328,Safety,Safety Notice (Green) - Good Observation,Scaffolding,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,13,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T141007.42,83,T141007.42,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,13,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.41,84,T141007.41,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,13,1,1,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.40,85,T141007.40,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,13,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.39,86,T141007.39,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,13,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.38,87,T141007.38,1328,Safety,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,13,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.37,88,T141007.37,1328,Safety,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,21,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.36,89,T141007.36,1328,Design Team,Design Team - BCAR Electrical,Mechanical,Not Specified,Not Specified,2020-09-09,2020,9,Wednesday,16,0,0,0,0,537,Not Specified,Not Applicable,Design Team - BCAR Electrical
1328_T141007.35,90,T141007.35,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - Lead Management,2020-09-09,2020,9,Wednesday,15,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.34,91,T141007.34,1328,Safety,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,JPC - Safety - WAH Equipment,2020-09-09,2020,9,Wednesday,13,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.33,92,T141007.33,1328,Safety,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,JPC - Safety - Storage,2020-09-09,2020,9,Wednesday,16,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.32,93,T141007.32,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-09,2020,9,Wednesday,16,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.30,94,T141007.30,1328,Safety,Safety Notice (Amber) - General Issue,Structural Steel,FormAnswer,JPC - Safety - Plant & Equipment,2020-09-09,2020,9,Wednesday,26,1,1,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T141007.28,95,T141007.28,1328,Safety,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,JPC - Safety - Plant & Equipment,2020-09-09,2020,9,Wednesday,15,1,0,0,0,537,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T118318.207,96,T118318.207,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-08,2020,9,Tuesday,12,1,0,0,0,536,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T118318.206,97,T118318.206,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-08,2020,9,Tuesday,18,1,0,0,0,536,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T118318.205,98,T118318.205,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-08,2020,9,Tuesday,33,1,0,0,0,536,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T118318.204,99,T118318.204,1328,Site Management,JPC - Progress Photo,Mechanical,FormAnswer,Not Specified,2020-09-08,2020,9,Tuesday,29,1,0,0,0,536,Not Specified,Not Applicable,JPC - Progress Photo
1328_T118318.203,100,T118318.203,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-08,2020,9,Tuesday,35,1,0,0,0,536,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T118318.202,101,T118318.202,1328,Safety,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,JPC - Safety - Access,2020-09-08,2020,9,Tuesday,43,1,0,0,0,536,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T118318.201,102,T118318.201,1328,Safety,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,JPC - Safety - House Keeping,2020-09-08,2020,9,Tuesday,12,1,0,0,0,536,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T118318.200,103,T118318.200,1328,Safety,Safety Notice (Amber) - General Issue,Structural Steel,FormAnswer,JPC - Safety - House Keeping,2020-09-08,2020,9,Tuesday,34,1,1,0,0,536,Not Specified,Not Applicable,Safety Notice (Amber) - General Issue
1328_T118318.199,104,T118318.199,1328,Safety,Safety Notice (Green) - Good Observation,Concrete - Formwork,FormAnswer,JPC - Safety - Access,2020-09-08,2020,9,Tuesday,26,1,0,0,0,536,Not Specified,Not Applicable,Safety Notice (Green) - Good Observation
1328_T116412.183,105,T116412.183,1328,Site Management,JPC - Progress Photo,Main Contractor,Not Specified,Not Specified,2020-09-08,2020,9,Tuesday,34,1,0,0,0,536,Not Specified,Not Applicable,JPC - Progress Photo
1328_T116412.182,106,T116412.182,1328,Quality,JPC - Quality Defect (compliance),Ceilings & Partitions,FormAnswer,JPC - Quality - Workmanship,2020-09-08,2020,9,Tuesday,35,1,0,0,1,536,Not Specified,Not Applicable,JPC - Quality Defect (compliance)
1328_T131475.88,107,T131475.88,1328,Safety,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,JPC - Safety - Environmental,2020-09-07,2020,9,Monday,54,1,0,0,0,535,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T131475.87,108,T131475.87,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-07,2020,9,Monday,61,1,0,0,0,535,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
1328_T131475.86,109,T131475.86,1328,Safety,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,JPC - Safety - House Keeping,2020-09-07,2020,9,Monday,43,1,0,0,0,535,Not Specified,Behavioural Failure,Safety Notice (Amber) - General Issue
